cancer,gene_symbol,log2FoldChange,padj,percent_change
COAD,CIP2A,1.3323939185788323,6.101025691669277e-29,151.82018319223482
LUAD,MRAS,-1.0655919833575787,4.553899526529425e-28,-52.22234282535887
LUAD,CIP2A,2.0202792023510616,2.5136442470386443e-46,305.66229146256944
